date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:46:33 AM,25650,500,42170,14
25/3/2015,10:46:33 AM,25640,500,41850,14
25/3/2015,10:46:34 AM,25640,500,40300,14
25/3/2015,10:46:34 AM,25640,500,37070,14
25/3/2015,10:46:35 AM,25640,500,36200,14
25/3/2015,10:46:35 AM,25620,500,35670,13
25/3/2015,10:46:36 AM,25590,500,35140,13
25/3/2015,10:46:36 AM,25590,500,34610,13
25/3/2015,10:46:37 AM,25590,400,33720,13
25/3/2015,10:46:37 AM,25590,400,31530,13
25/3/2015,10:46:38 AM,25590,400,31400,12
25/3/2015,10:46:38 AM,25580,400,31460,12
25/3/2015,10:46:39 AM,25580,400,31790,12
25/3/2015,10:46:39 AM,25580,400,31090,12
25/3/2015,10:46:40 AM,25580,400,29750,12
25/3/2015,10:46:40 AM,25580,400,28490,12
25/3/2015,10:46:41 AM,25570,400,28810,12
25/3/2015,10:46:41 AM,25560,400,30070,12
25/3/2015,10:46:42 AM,25540,400,31510,12
25/3/2015,10:46:42 AM,25530,400,31620,12
25/3/2015,10:46:43 AM,25530,400,31330,12
25/3/2015,10:46:43 AM,25530,400,31450,12
25/3/2015,10:46:44 AM,25530,400,34880,12
25/3/2015,10:46:44 AM,25530,500,35900,13
25/3/2015,10:46:45 AM,25530,500,35710,13
25/3/2015,10:46:45 AM,25530,400,35280,13
25/3/2015,10:46:46 AM,25530,400,34890,13
25/3/2015,10:46:46 AM,25530,500,34490,13
25/3/2015,10:46:47 AM,25530,400,34090,13
25/3/2015,10:46:47 AM,25530,400,33810,13
25/3/2015,10:46:48 AM,25520,400,33500,13
25/3/2015,10:46:48 AM,25520,400,33020,13
25/3/2015,10:46:49 AM,25520,400,32040,12
25/3/2015,10:46:49 AM,25510,400,31290,12
25/3/2015,10:46:50 AM,25510,400,31260,12
25/3/2015,10:46:50 AM,25510,400,31260,12
25/3/2015,10:46:51 AM,25510,400,31260,12
25/3/2015,10:46:51 AM,25510,400,31290,12
25/3/2015,10:46:52 AM,25510,400,31340,12
25/3/2015,10:46:52 AM,25510,400,31400,12
25/3/2015,10:46:53 AM,25490,400,31400,12
25/3/2015,10:46:53 AM,25480,400,31400,12
